 year |               team                |             opponent              |  w  |  d  |  l  |  n   
------+-----------------------------------+-----------------------------------+-----+-----+-----+------
 2000 | Dutch Eredivisie                  | Dutch Eredivisie                  | 134 |  80 | 134 |  348
 2000 | French Ligue 1                    | French Ligue 1                    |   7 |   4 |   7 |   18
 2000 | German Bundesliga                 | German Bundesliga                 | 149 |  82 | 149 |  380
 2000 | Italian Serie A                   | Italian Serie A                   | 150 | 114 | 150 |  414
 2000 | Spanish Primera División          | Spanish Primera División          | 190 | 128 | 190 |  516
 2001 | Dutch Eredivisie                  | Dutch Eredivisie                  | 229 | 158 | 229 |  690
 2001 | Dutch Eredivisie                  | English Premier League            |   1 |   1 |   0 |    2
 2001 | Dutch Eredivisie                  | German Bundesliga                 |   2 |   2 |   1 |    6
 2001 | Dutch Eredivisie                  | Italian Serie A                   |   3 |   2 |   3 |    8
 2001 | Dutch Eredivisie                  | Scottish Premiership              |   2 |   1 |   1 |    4
 2001 | English League Championship       | English League Championship       | 426 | 292 | 426 | 1248
 2001 | English League Championship       | English League One                |   8 |   2 |   5 |   16
 2001 | English League Championship       | English League Two                |  18 |   2 |   4 |   25
 2001 | English League Championship       | English Premier League            |   9 |   5 |  26 |   44
 2001 | English League One                | English League Championship       |   5 |   2 |   8 |   16
 2001 | English League One                | English League One                | 431 | 312 | 431 | 1254
 2001 | English League One                | English League Two                |  31 |   9 |  12 |   54
 2001 | English League One                | English Premier League            |   1 |   2 |  13 |   18
 2001 | English League Two                | English League Championship       |   4 |   2 |  18 |   25
 2001 | English League Two                | English League One                |  12 |   9 |  31 |   54
 2001 | English League Two                | English League Two                | 418 | 302 | 418 | 1242
 2001 | English League Two                | English Premier League            |   1 |   1 |   6 |    8
 2001 | English Premier League            | Dutch Eredivisie                  |   0 |   1 |   1 |    2
 2001 | English Premier League            | English League Championship       |  26 |   5 |   9 |   44
 2001 | English Premier League            | English League One                |  13 |   2 |   1 |   18
 2001 | English Premier League            | English League Two                |   6 |   1 |   1 |    8
 2001 | English Premier League            | English Premier League            | 305 | 208 | 305 |  890
 2001 | English Premier League            | German Bundesliga                 |   4 |   6 |   2 |   12
 2001 | English Premier League            | Italian Serie A                   |   3 |   1 |   2 |    6
 2001 | English Premier League            | Spanish Primera División          |   3 |   1 |   6 |   10
 2001 | German Bundesliga                 | Dutch Eredivisie                  |   1 |   2 |   2 |    6
 2001 | German Bundesliga                 | English Premier League            |   2 |   6 |   4 |   12
 2001 | German Bundesliga                 | German Bundesliga                 | 238 | 136 | 238 |  672
 2001 | German Bundesliga                 | Italian Serie A                   |   2 |   0 |   2 |    5
 2001 | German Bundesliga                 | Spanish Primera División          |   5 |   0 |   4 |    9
 2001 | Italian Serie A                   | Dutch Eredivisie                  |   3 |   2 |   3 |    8
 2001 | Italian Serie A                   | English Premier League            |   2 |   1 |   3 |    6
 2001 | Italian Serie A                   | German Bundesliga                 |   2 |   0 |   2 |    5
 2001 | Italian Serie A                   | Italian Serie A                   | 220 | 172 | 220 |  636
 2001 | Italian Serie A                   | Scottish Premiership              |   1 |   0 |   1 |    2
 2001 | Italian Serie A                   | Spanish Primera División          |   2 |   4 |   2 |    8
 2001 | Scottish Premiership              | Dutch Eredivisie                  |   1 |   1 |   2 |    4
 2001 | Scottish Premiership              | Italian Serie A                   |   1 |   0 |   1 |    2
