Season,Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes
2021,1,Sat,2020-09-19,18:00,Fiorentina,1.9,1–0,0.6,Torino,,Stadio Artemio Franchi,Rosario Abisso,Match Report,
2021,1,Sat,2020-09-19,20:45,Hellas Verona,1.3,3–0,1.7,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,Match awarded to Hellas Verona
2021,1,Sun,2020-09-20,12:30,Parma,0.2,0–2,1.6,Napoli,1000,Stadio Ennio Tardini,Maurizio Mariani,Match Report,
2021,1,Sun,2020-09-20,15:00,Genoa,2.0,4–1,1.2,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
2021,1,Sun,2020-09-20,18:00,Sassuolo,2.3,1–1,1.0,Cagliari,850,Stadio Città del Tricolore,Livio Marinelli,Match Report,
2021,1,Sun,2020-09-20,20:45,Juventus,2.4,3–0,0.8,Sampdoria,1000,Allianz Stadium,Marco Piccinini,Match Report,
2021,1,Mon,2020-09-21,20:45,Milan,2.9,2–0,0.9,Bologna,1000,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
2021,2,Sat,2020-09-26,15:00,Torino,0.7,2–4,1.6,Atalanta,1000,Stadio Olimpico di Torino,Massimiliano Irrati,Match Report,
2021,2,Sat,2020-09-26,18:00,Cagliari,1.0,0–2,2.1,Lazio,1000,Sardegna Arena,Davide Massa,Match Report,
2021,2,Sat,2020-09-26,18:00,Sampdoria,1.6,2–3,1.2,Benevento,1000,Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,
2021,2,Sat,2020-09-26,20:45,Inter,2.8,4–3,2.5,Fiorentina,1000,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
2021,2,Sun,2020-09-27,12:30,Spezia,1.1,1–4,2.8,Sassuolo,1000,Stadio Dino Manuzzi,Davide Ghersini,Match Report,
2021,2,Sun,2020-09-27,15:00,Hellas Verona,1.0,1–0,1.7,Udinese,1000,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,
2021,2,Sun,2020-09-27,18:00,Napoli,2.4,6–0,0.6,Genoa,1000,Stadio San Paolo,Juan Sacchi,Match Report,
2021,2,Sun,2020-09-27,18:00,Crotone,0.3,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Match Report,
2021,2,Sun,2020-09-27,20:45,Roma,2.7,2–2,1.3,Juventus,1000,Stadio Olimpico,Marco Di Bello,Match Report,
2021,2,Mon,2020-09-28,20:45,Bologna,2.2,4–1,1.0,Parma,1000,Stadio Renato Dall'Ara,Paolo Valeri,Match Report,
2021,1,Wed,2020-09-30,18:00,Udinese,2.1,0–2,0.7,Spezia,1000,Dacia Arena,Alessandro Prontera,Match Report,
2021,1,Wed,2020-09-30,18:00,Benevento,1.5,2–5,3.5,Inter,1000,Stadio Ciro Vigorito,Marco Piccinini,Match Report,
2021,1,Wed,2020-09-30,20:45,Lazio,2.6,1–4,1.7,Atalanta,1000,Stadio Olimpico,Fabio Maresca,Match Report,
2021,3,Fri,2020-10-02,20:45,Fiorentina,2.1,1–2,2.4,Sampdoria,1000,Stadio Artemio Franchi,Piero Giacomelli,Match Report,
2021,3,Sat,2020-10-03,15:00,Sassuolo,1.7,4–1,1.8,Crotone,1000,Stadio Città del Tricolore,Ivan Pezzuto,Match Report,
2021,3,Sat,2020-10-03,20:45,Udinese,0.9,0–1,0.8,Roma,1000,Dacia Arena,Rosario Abisso,Match Report,
2021,3,Sun,2020-10-04,12:30,Atalanta,3.5,5–2,1.0,Cagliari,1000,Stadio Atleti Azzurri d'Italia,Fabrizio Pasqua,Match Report,
2021,3,Sun,2020-10-04,15:00,Lazio,1.3,1–1,0.9,Inter,1000,Stadio Olimpico,Marco Guida,Match Report,
2021,3,Sun,2020-10-04,15:00,Benevento,0.9,1–0,1.8,Bologna,1000,Stadio Ciro Vigorito,Simone Sozza,Match Report,
2021,3,Sun,2020-10-04,15:00,Parma,1.6,1–0,0.5,Hellas Verona,1000,Stadio Ennio Tardini,Antonio Giua,Match Report,
2021,3,Sun,2020-10-04,18:00,Milan,2.0,3–0,0.2,Spezia,1000,Stadio Giuseppe Meazza,Marco Serra,Match Report,
2021,4,Sat,2020-10-17,15:00,Napoli,1.7,4–1,1.0,Atalanta,1000,Stadio San Paolo,Marco Di Bello,Match Report,
2021,4,Sat,2020-10-17,18:00,Sampdoria,1.3,3–0,0.6,Lazio,1000,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
2021,4,Sat,2020-10-17,18:00,Inter,2.4,1–2,2.3,Milan,1000,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
2021,4,Sat,2020-10-17,20:45,Crotone,1.1,1–1,1.6,Juventus,1000,Stadio Ezio Scida,Francesco Fourneau,Match Report,
