Season,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2020,1,Sat,2019-08-03,15:00,Baroka FC,2–2,Cape Town City,2224,Peter Mokaba Stadium,Victor Gomes,Match Report,
2020,1,Sat,2019-08-03,15:00,Chippa Utd,0–0,Stellenbosch FC,3878,Nelson Mandela Bay Stadium,Olani Qwinda,Match Report,
2020,1,Sat,2019-08-03,15:00,Sundowns,2–0,SuperSport,10000,Lucas Masterpieces Moripe Stadium,Victor Hlungwani,Match Report,
2020,1,Sat,2019-08-03,18:00,Orlando Pirates,3–1,Bloem Celtic,27000,Orlando Stadium,Jelly Chavani,Match Report,
2020,1,Sat,2019-08-03,20:15,AmaZulu,0–3,Bidvest Wits,1000,King Goodwill Zwelithini Stadium,Abongile Tom,Match Report,
2020,1,Sun,2019-08-04,15:00,Highlands Park,2–3,Kaizer Chiefs,15000,Makhulong Stadium,Eugene Mdluli,Match Report,
2020,1,Sun,2019-08-04,15:00,Black Leopards,0–1,Polokwane City,18000,Thohoyandou Stadium,Cedrick Muvhali,Match Report,
2020,1,Sun,2019-08-04,15:00,Golden Arrows,1–0,Maritzburg Utd,2000,Sugar Ray Xulu Stadium,Kulasande Qongqo,Match Report,
2020,2,Tue,2019-08-06,19:30,Bidvest Wits,0–1,Baroka FC,1500,BidVest Stadium,Tshidiso Maruping,Match Report,
2020,2,Fri,2019-08-09,20:00,Maritzburg Utd,1–1,Highlands Park,2000,Harry Gwala Stadium,Luxolo Badi,Match Report,
2020,2,Sat,2019-08-10,15:00,Polokwane City,1–0,AmaZulu,2500,Pietersburg Stadium,Masixole Bambiso,Match Report,
2020,2,Sat,2019-08-10,18:00,Cape Town City,1–0,Stellenbosch FC,4000,Cape Town Stadium,Victor Hlungwani,Match Report,
2020,2,Sat,2019-08-10,20:15,Kaizer Chiefs,1–0,Black Leopards,5000,Moses Mabhida Stadium,Abongile Tom,Match Report,
