Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2020-09-12,16:00 (10:00),Eibar,0.4,0–0,0.9,Celta Vigo,,Estadio Municipal de Ipurúa,Valentín Pizarro,Match Report,
1,Sat,2020-09-12,18:30 (12:30),Granada,0.3,2–0,0.9,Athletic Club,,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,Match Report,
1,Sat,2020-09-12,21:00 (15:00),Cádiz,1.1,0–2,0.9,Osasuna,,Estadio Ramón de Carranza,Isidro Díaz de Mera,Match Report,
1,Sun,2020-09-13,14:00 (08:00),Alavés,1.0,0–1,0.6,Betis,,Estadio de Mendizorroza,Pablo González,Match Report,
1,Sun,2020-09-13,16:00 (10:00),Valladolid,0.6,1–1,0.2,Real Sociedad,,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
1,Sun,2020-09-13,18:30 (12:30),Villarreal,2.1,1–1,0.5,Huesca,,Estadio de la Cerámica,Javier Estrada,Match Report,
1,Sun,2020-09-13,21:00 (15:00),Valencia,1.8,4–2,2.0,Levante,,Estadio de Mestalla,José Sánchez,Match Report,
2,Sat,2020-09-19,16:00 (10:00),Villarreal,2.2,2–1,1.1,Eibar,,Estadio de la Cerámica,Jorge Figueroa,Match Report,
2,Sat,2020-09-19,18:30 (12:30),Getafe,0.4,1–0,0.4,Osasuna,,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
2,Sat,2020-09-19,21:00 (15:00),Celta Vigo,2.3,2–1,0.5,Valencia,,Estadio de Balaídos,Jesús Gil,Match Report,
2,Sun,2020-09-20,16:00 (10:00),Huesca,0.2,0–2,1.3,Cádiz,,Estadio El Alcoraz,César Soto,Match Report,
2,Sun,2020-09-20,18:30 (12:30),Granada,2.0,2–1,0.6,Alavés,,Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
2,Sun,2020-09-20,18:30 (12:30),Betis,1.4,2–0,0.5,Valladolid,,Estadio Benito Villamarín,Santiago Jaime,Match Report,
2,Sun,2020-09-20,21:00 (15:00),Real Sociedad,0.5,0–0,0.8,Real Madrid,,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
3,Sat,2020-09-26,13:00 (07:00),Alavés,1.4,0–0,0.8,Getafe,,Estadio de Mendizorroza,Alberola Rojas,Match Report,
3,Sat,2020-09-26,16:00 (10:00),Valencia,0.2,1–1,1.5,Huesca,,Estadio de Mestalla,José Luis Munuera,Match Report,
3,Sat,2020-09-26,18:30 (12:30),Elche,1.3,0–3,3.0,Real Sociedad,,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,Match Report,
3,Sat,2020-09-26,21:00 (15:00),Betis,1.1,2–3,3.6,Real Madrid,,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
3,Sun,2020-09-27,12:00 (06:00),Osasuna,0.6,1–3,2.8,Levante,,Estadio El Sadar,Mario Melero,Match Report,
3,Sun,2020-09-27,14:00 (08:00),Eibar,0.5,1–2,0.7,Athletic Club,,Estadio Municipal de Ipurúa,Adrián Cordero,Match Report,
3,Sun,2020-09-27,16:00 (10:00),Atlético Madrid,3.1,6–1,0.9,Granada,,Estadio Wanda Metropolitano,Javier Estrada,Match Report,
3,Sun,2020-09-27,18:30 (12:30),Cádiz,1.1,1–3,2.7,Sevilla,,Estadio Ramón de Carranza,David Medié,Match Report,
3,Sun,2020-09-27,18:30 (12:30),Valladolid,1.5,1–1,1.2,Celta Vigo,,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
3,Sun,2020-09-27,21:00 (15:00),Barcelona,2.6,4–0,0.2,Villarreal,,Camp Nou,Guillermo Cuadra,Match Report,
4,Tue,2020-09-29,19:00 (13:00),Real Sociedad,0.7,0–1,1.0,Valencia,,Estadio Municipal de Anoeta,Jorge Figueroa,Match Report,
4,Tue,2020-09-29,21:30 (15:30),Getafe,0.7,3–0,0.5,Betis,,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
4,Wed,2020-09-30,19:00 (13:00),Villarreal,2.3,3–1,1.5,Alavés,,Estadio de la Cerámica,David Medié,Match Report,
4,Wed,2020-09-30,19:00 (13:00),Huesca,0.7,0–0,1.3,Atlético Madrid,,Estadio El Alcoraz,Adrián Cordero,Match Report,
4,Wed,2020-09-30,21:30 (15:30),Eibar,1.1,0–1,0.7,Elche,,Estadio Municipal de Ipurúa,Santiago Jaime,Match Report,
4,Wed,2020-09-30,21:30 (15:30),Real Madrid,2.2,1–0,0.6,Valladolid,,Estadio Santiago Bernabéu,César Soto,Match Report,
4,Thu,2020-10-01,19:00 (13:00),Sevilla,1.0,1–0,0.3,Levante,,Estadio Ramón Sánchez Pizjuán,Javier Estrada,Match Report,
4,Thu,2020-10-01,19:00 (13:00),Athletic Club,0.6,0–1,0.2,Cádiz,,San Mamés,Pablo González,Match Report,
4,Thu,2020-10-01,21:30 (15:30),Celta Vigo,0.5,0–3,0.7,Barcelona,,Estadio de Balaídos,Carlos del Cerro,Match Report,
5,Sat,2020-10-03,13:00 (07:00),Valladolid,1.2,1–2,1.3,Eibar,,Estadio Municipal José Zorrilla,Isidro Díaz de Mera,Match Report,
5,Sat,2020-10-03,16:00 (10:00),Atlético Madrid,0.6,0–0,0.3,Villarreal,,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
5,Sat,2020-10-03,18:30 (12:30),Elche,0.3,0–0,2.1,Huesca,,Estadio Manuel Martínez Valero,Mario Melero,Match Report,
5,Sat,2020-10-03,18:30 (12:30),Real Sociedad,2.6,3–0,0.4,Getafe,,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
5,Sat,2020-10-03,21:00 (15:00),Valencia,0.3,0–2,1.9,Betis,,Estadio de Mestalla,Guillermo Cuadra,Match Report,
5,Sun,2020-10-04,12:00 (06:00),Osasuna,1.1,2–0,0.7,Celta Vigo,,Estadio El Sadar,Ricardo de Burgos,Match Report,
5,Sun,2020-10-04,14:00 (08:00),Alavés,0.6,1–0,0.6,Athletic Club,,Estadio de Mendizorroza,José Sánchez,Match Report,
5,Sun,2020-10-04,16:00 (10:00),Levante,0.9,0–2,1.6,Real Madrid,,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
5,Sun,2020-10-04,18:30 (12:30),Cádiz,1.1,1–1,0.7,Granada,,Estadio Ramón de Carranza,Alberola Rojas,Match Report,
5,Sun,2020-10-04,21:00 (15:00),Barcelona,1.8,1–1,0.7,Sevilla,,Camp Nou,Jesús Gil,Match Report,
