Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC2,10/08/13,Arbroath,Ayr,0,3,A,0,2,A,2.4,3.6,2.4,2.5,3.4,2.4,2.4,3.2,2.4,2.37,3.5,2.37,2.55,3.67,2.7,2.62,3.1,2.75,2.4,3.5,2.5,2.5,3.6,2.7,24,2.62,2.44,3.6,3.39,2.75,2.54,16,1.6,1.54,2.44,2.36,10,0,1.89,1.86,2.04,1.99
SC2,10/08/13,East Fife,Dunfermline,0,1,A,0,1,A,2.6,3.5,2.3,2.5,3.4,2.4,2.5,3.2,2.3,2.25,3.4,2.6,2.93,3.69,2.36,2.75,3.1,2.62,2.75,3.4,2.38,2.8,3.5,2.45,24,2.8,2.64,3.5,3.35,2.62,2.39,16,1.65,1.6,2.34,2.25,10,0,2.15,2.07,1.85,1.79
SC2,10/08/13,Forfar,Airdrie Utd,3,3,D,1,1,D,2.2,3.6,2.63,2.25,3.5,2.65,2.3,3.2,2.5,2.2,3.5,2.6,2.43,3.8,2.77,2.4,3.5,2.75,2.38,3.5,2.63,2.4,3.6,2.8,24,2.45,2.33,3.6,3.44,2.8,2.64,15,1.45,1.41,3,2.76,10,0,1.83,1.8,2.1,2.06
SC2,10/08/13,Rangers,Brechin,4,1,H,2,0,H,1.2,6,11,1.19,5.75,10.5,1.2,5,10,1.16,5.5,11,,,,1.3,6,10,1.25,5.75,9,1.29,6,9,23,1.3,1.23,6.2,5.61,12,9.68,15,1.33,1.29,3.6,3.42,10,-1.75,1.94,1.89,2,1.95
SC2,10/08/13,Stenhousemuir,Stranraer,1,0,H,1,0,H,1.95,3.6,3.3,1.9,3.5,3.4,2,3.3,3,2,3.5,3,2,3.9,3.6,2,3.6,3.5,1.9,3.5,3.6,1.95,3.6,3.7,24,2,1.93,3.75,3.51,3.85,3.42,15,1.47,1.44,2.8,2.65,11,-0.5,2,1.92,1.98,1.93
SC2,17/08/13,Airdrie Utd,Stenhousemuir,0,1,A,0,0,D,2.2,3.6,3,2.1,3.5,2.85,2.2,3.2,2.7,2,3.5,3,2.28,3.75,3.03,2.1,3.75,2.88,2.2,3.5,2.88,2.25,3.75,2.9,28,2.38,2.18,3.6,3.44,3,2.86,17,1.57,1.5,2.62,2.48,,,,,,
SC2,17/08/13,Ayr,Forfar,2,0,H,1,0,H,2.05,3.75,3.2,1.9,3.5,3.4,2,3.3,3,1.9,3.5,3.2,2.12,3.99,3.21,1.91,3.75,3.3,2.05,3.5,3.13,2.1,3.75,3.25,28,2.2,2.04,3.75,3.52,3.4,3.11,16,1.45,1.41,3,2.76,,,,,,
SC2,17/08/13,Brechin,East Fife,2,0,H,0,0,D,1.83,3.75,4,1.8,3.6,3.6,1.85,3.3,3.4,1.9,3.5,3.2,1.943,3.99,3.71,1.8,3.75,3.6,1.8,3.5,4,1.87,3.75,4,27,1.91,1.83,3.75,3.56,4.15,3.71,17,1.55,1.48,2.63,2.53,,,,,,
SC2,17/08/13,Dunfermline,Arbroath,2,3,A,2,3,A,1.7,4,4.5,1.67,3.7,4.2,1.65,3.4,4.2,1.66,3.6,4,1.725,4.03,4.82,1.73,3.75,4,1.67,3.6,4.5,1.7,4,4.6,26,1.73,1.69,4,3.65,4.8,4.35,17,1.69,1.61,2.3,2.22,,,,,,
SC2,17/08/13,Stranraer,Rangers,0,3,A,0,3,A,9.5,5.5,1.29,7.75,5.5,1.25,7.5,4,1.33,9,5.5,1.2,9.5,5.88,1.315,9,5.5,1.3,8.5,5.25,1.29,10,5.75,1.29,23,10,8.39,5.75,5.19,1.33,1.28,16,1.4,1.37,3,2.91,,,,,,
